DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2025-1053-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Sampang, Jember Regencies ; Banyuwangi, (Java); Banjar Regencies (Kalimantan)",Heavy rain,,No,No,No,,,Km2,,,,2025,12,16,2025,12,18,,,15745,,15745,,,,,,,,,"[{""gid_2"":""IDN.11.2_1"",""name_2"":""Banyuwangi""},{""gid_2"":""IDN.11.31_1"",""name_2"":""Sampang""},{""gid_2"":""IDN.11.8_1"",""name_2"":""Jember""},{""gid_2"":""IDN.13.3_1"",""name_2"":""Banjar""}]",2025-12-18,2026-01-15
2025-1061-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"West Nusa Tenggara, North Sulawesi, North Sumatra, and East Java provinces",Heavy rain,,No,No,No,,,Km2,,,,2025,12,21,2025,12,23,,,2000,,2000,,,,,,,,,"[{""gid_1"":""IDN.11_1"",""name_1"":""Jawa Timur""},{""gid_1"":""IDN.20_1"",""name_1"":""Nusa Tenggara Barat""},{""gid_1"":""IDN.29_1"",""name_1"":""Sulawesi Utara""},{""gid_1"":""IDN.32_1"",""name_1"":""Sumatera Utara""}]",2025-12-23,2026-01-15
2022-0847-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Kupang Regency in East Nusa Tenggara Province (western Timor Island); Central Kupang, Sulamu, Takari, and Kupang Fatuleu sub-districts",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,12,25,2022,12,26,1,,2990,220,3210,,,,,,,93.29460735,,"[{""gid_2"":""IDN.21.5_1"",""name_2"":""Kota Kupang""},{""gid_2"":""IDN.21.6_1"",""name_2"":""Kupang""}]",2023-01-05,2026-01-16
2023-0854-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,"Johor, Kelantan, Pahang, Sabah, and Terengganu states",Heavy rains,,No,No,No,,,Km2,,,,2023,12,22,2023,12,25,2,,25676,,25676,,,,,,,97.13499264,,"[{""gid_1"":""MYS.13_1"",""name_1"":""Sabah""},{""gid_1"":""MYS.16_1"",""name_1"":""Trengganu""},{""gid_1"":""MYS.1_1"",""name_1"":""Johor""},{""gid_1"":""MYS.3_1"",""name_1"":""Kelantan""},{""gid_1"":""MYS.8_1"",""name_1"":""Pahang""}]",2024-01-02,2026-01-16
2022-0845-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Kendal, Grobogan, Jepara, Pati, Pekalongan, Demak, Semarang City, Kudus, and Pekalongan City (Central Java province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,12,26,2023,1,1,,,545,196200,196745,,,,,,,93.29460735,,"[{""gid_2"":""IDN.10.10_1"",""name_2"":""Jepara""},{""gid_2"":""IDN.10.13_1"",""name_2"":""Kendal""},{""gid_2"":""IDN.10.16_1"",""name_2"":""Kota Pekalongan""},{""gid_2"":""IDN.10.17_1"",""name_2"":""Kota Semarang""},{""gid_2"":""IDN.10.19_1"",""name_2"":""Kudus""},{""gid_2"":""IDN.10.21_1"",""name_2"":""Pati""},{""gid_2"":""IDN.10.22_1"",""name_2"":""Pekalongan""},{""gid_2"":""IDN.10.8_1"",""name_2"":""Demak""},{""gid_2"":""IDN.10.9_1"",""name_2"":""Grobogan""}]",2023-01-05,2026-01-16
2001-0046-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IDN,Indonesia,South-eastern Asia,Asia,"Sangihe chains (Kepulauan-sangihe district, Sulawesi Utara province)",,,No,No,No,,,,,,,2001,1,22,2001,1,22,63,,,,,,,,,,,56.44657635,"[{""adm2_code"":73699,""adm2_name"":""Kepulauan-sangihe""}]",,2003-07-01,2023-09-25
2024-0898-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Sukabumi regency (West Java province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,12,3,2024,12,10,12,,10160,,10160,,,,,,,100,,"[{""gid_2"":""IDN.9.24_1"",""name_2"":""Sukabumi""}]",2024-12-11,2026-01-19
2022-0736-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Lampung Province (the southernmost Province of Sumatra); Tangerang Regency (Banten Province, northern Java); Bandung Regencies (West Java Province); Pesawaran Regency (Lampung Province, southern Sumatra)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,11,7,2022,11,14,3,,7000,,7000,,,,,,,93.29460735,,"[{""gid_1"":""IDN.17_1"",""name_1"":""Lampung""},{""gid_2"":""IDN.4.3_1"",""name_2"":""Kota Tangerang""},{""gid_2"":""IDN.9.2_1"",""name_2"":""Bandung""}]",2022-11-14,2026-01-20
2022-0809-MYS,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,MYS,Malaysia,South-eastern Asia,Asia,Batang Kali (near Kuala Lumpur),Heavy rains,,No,No,No,,,,,,,2022,12,16,2022,12,16,33,,94,,94,,,,,,,93.29460735,,"[{""gid_2"":""MYS.15.3_1"",""name_2"":""Hulu Selangor""}]",2022-12-21,2026-01-20
2001-0649-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,Kuala Lumpur province,,,No,No,No,,,Km2,,,,2001,10,30,2001,10,30,,,200,,200,,,,,,,56.44657635,"[{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""}]",,2003-07-01,2023-09-25
